"HouseStyle","No_of_Bedrooms","Full_Bath","Half_Bath","Total_Sqft","Garage_Type","FirstExterior","SecondExterior","Overall_Condition","Overall_Quality"
"1Story",1,0,1,1808,"0","Wd Sdng","Wd Sdng",1,1
"SFoyer",2,1,0,1828,"Detchd","VinylSd","VinylSd",5,5
"2Story",4,3,0,4932,"Attchd","CemntBd","CmentBd",5,8
"1Story",1,1,1,3712,"Attchd","VinylSd","VinylSd",2,9
"2Story",3,2,1,3600,"Attchd","VinylSd","VinylSd",5,6
"1.5Fin",3,2,0,3382,"Detchd","BrkFace","Wd Sdng",6,5
"1Story",2,2,0,2602,"Attchd","VinylSd","VinylSd",5,7
"2Story",3,2,1,3594,"Attchd","VinylSd","VinylSd",5,7
"1.5Unf",2,1,0,1568,"Detchd","Wd Sdng","Wd Sdng",3,6
"2Story",3,2,1,3906,"Attchd","HdBoard","HdBoard",5,6
"1Story",2,2,0,2538,"Attchd","VinylSd","VinylSd",5,8
"1.5Fin",5,1,0,2368,"0","Wd Sdng","VinylSd",3,5
"SLvl",3,1,0,2250,"Detchd","MetalSd","MetalSd",6,6
"1Story",3,2,0,2958,"Attchd","VinylSd","VinylSd",5,7
"2Story",3,2,1,4664,"BuiltIn","VinylSd","VinylSd",5,10
"1.5Fin",4,1,0,2734,"Detchd","MetalSd","MetalSd",8,5
"2Story",3,2,1,3922,"BuiltIn","VinylSd","VinylSd",5,6
"1Story",3,1,0,1764,"Attchd","MetalSd","MetalSd",7,5
"1Story",2,1,0,1576,"0","WdShing","Wd Shng",5,4
"1.5Fin",2,1,0,2068,"Detchd","MetalSd","MetalSd",6,5
"1Story",3,1,0,2288,"Attchd","Wd Sdng","Wd Sdng",6,5
"1Story",2,1,0,1788,"Detchd","MetalSd","MetalSd",5,5
"2Story",4,2,0,3624,"Attchd","VinylSd","VinylSd",5,5
"1Story",2,1,0,2154,"Detchd","MetalSd","MetalSd",2,5
"2Story",2,2,0,3100,"Attchd","CemntBd","CmentBd",5,7
"1Story",1,1,1,2576,"Attchd","BrkFace","BrkFace",5,8
"1Story",3,2,0,2620,"Attchd","VinylSd","VinylSd",5,7
"1Story",2,1,0,1344,"Detchd","Wd Sdng","Wd Sdng",8,5
"2Story",4,2,1,4526,"BuiltIn","VinylSd","VinylSd",5,8
"2Story",3,2,1,3144,"BuiltIn","MetalSd","MetalSd",5,6
"1Story",3,2,0,3240,"Attchd","Plywood","Plywood",4,4
"1.5Fin",3,1,0,2805,"Detchd","MetalSd","MetalSd",5,6
"2Story",4,2,0,3360,"Attchd","Wd Sdng","Plywood",7,6
"2Story",3,2,1,4344,"Attchd","VinylSd","VinylSd",5,7
"2Story",3,2,1,4156,"Attchd","VinylSd","VinylSd",5,8
"1Story",3,1,0,2552,"Attchd","BrkComm","Brk Cmn",3,5
"1Story",3,1,0,2112,"Attchd","Wd Sdng","Wd Sdng",5,5
"1Story",2,2,1,2956,"Attchd","MetalSd","MetalSd",5,7
"1Story",2,1,0,2056,"Detchd","WdShing","Wd Shng",6,5
"2Story",3,2,1,4194,"Attchd","VinylSd","VinylSd",5,7
"1Story",3,2,0,2680,"Attchd","VinylSd","VinylSd",5,7
"2Story",3,1,1,2800,"Attchd","HdBoard","HdBoard",7,6
"2Story",4,2,1,5248,"Detchd","Wd Sdng","Stucco",6,6
"1.5Fin",3,1,1,2268,"Detchd","MetalSd","MetalSd",6,5
"1Story",3,1,0,2112,"Attchd","VinylSd","VinylSd",6,5
"SFoyer",2,2,0,2688,"Attchd","VinylSd","VinylSd",5,7
"1Story",3,2,0,3204,"Attchd","CemntBd","CmentBd",7,6
"1Story",2,1,0,1976,"Attchd","HdBoard","HdBoard",5,5
"2Story",4,2,1,5260,"Attchd","VinylSd","VinylSd",5,8
"1Story",2,1,0,2392,"Attchd","Wd Sdng","Wd Sdng",5,6
"2Story",3,1,1,2778,"Detchd","HdBoard","HdBoard",8,7
"SLvl",2,2,0,3288,"Attchd","Wd Sdng","Wd Sdng",5,7
"1Story",3,1,0,1814,"Detchd","MetalSd","MetalSd",6,4
"1Story",2,2,0,2416,"Attchd","VinylSd","VinylSd",5,7
"1Story",3,2,0,2824,"Attchd","HdBoard","HdBoard",5,6
"2Story",2,1,1,1974,"Detchd","HdBoard","HdBoard",5,6
"1.5Fin",4,1,0,2396,"0","MetalSd","MetalSd",7,6
"2Story",2,1,1,2730,"Detchd","HdBoard","HdBoard",5,5
"2Story",3,2,1,3208,"Attchd","VinylSd","VinylSd",5,6
"SFoyer",1,1,0,1260,"0","CemntBd","CmentBd",7,4
"2Story",3,2,1,3322,"Attchd","VinylSd","VinylSd",6,7
"1.5Fin",2,1,0,2236,"Detchd","Stucco","Stucco",8,6
"1.5Unf",2,1,0,1808,"Detchd","Wd Sdng","Wd Sdng",7,6
"1Story",2,1,0,1388,"Detchd","WdShing","Stucco",6,5
"1.5Fin",3,1,0,2392,"Detchd","Wd Sdng","Wd Sdng",8,6
"1Story",2,2,0,4804,"Attchd","VinylSd","VinylSd",5,10
"1Story",4,2,0,2880,"0","VinylSd","VinylSd",4,4
"1.5Fin",3,2,0,3146,"Detchd","MetalSd","MetalSd",7,5
"1Story",2,2,0,2516,"Attchd","WdShing","Wd Shng",5,7
"2Story",4,2,1,3816,"Attchd","VinylSd","VinylSd",5,7
"1Story",3,1,0,3378,"Attchd","Wd Sdng","Wd Sdng",5,6
"1Story",2,2,1,3776,"Attchd","BrkFace","Plywood",6,6
"2Story",4,2,1,3772,"Attchd","VinylSd","VinylSd",5,7
"1.5Fin",3,2,0,2752,"Detchd","MetalSd","MetalSd",6,6
"1.5Fin",2,1,1,2366,"Detchd","MetalSd","MetalSd",7,3
"1Story",2,1,0,1626,"Detchd","Wd Sdng","Wd Sdng",8,6
"1Story",2,2,0,3066,"Attchd","Plywood","Plywood",5,7
"2Story",3,2,1,3512,"Attchd","VinylSd","VinylSd",5,6
"2Story",3,2,1,3180,"Attchd","VinylSd","VinylSd",5,8
"1Story",4,2,0,3456,"Detchd","Plywood","Plywood",5,5
"1Story",3,1,1,2484,"Attchd","HdBoard","HdBoard",6,7
"2Story",4,1,0,2688,"Detchd","AsbShng","AsbShng",5,5
"1Story",2,1,0,3326,"Attchd","Plywood","Plywood",6,4
"2Story",3,1,0,3332,"Detchd","Stucco","Wd Shng",7,8
"1.5Fin",3,1,0,2406,"Detchd","MetalSd","MetalSd",4,5
"2Story",3,2,1,3870,"BuiltIn","VinylSd","VinylSd",5,8
"2Story",3,1,0,2270,"Detchd","Wd Sdng","Wd Sdng",9,7
"1Story",3,1,0,1728,"Detchd","MetalSd","MetalSd",5,5
"2Story",3,1,1,3320,"Detchd","Stucco","Stucco",7,6
"1Story",3,2,0,2080,"0","HdBoard","HdBoard",5,5
"1Story",2,2,0,2828,"Attchd","VinylSd","VinylSd",5,7
"1Story",2,1,0,2554,"Attchd","Plywood","Plywood",5,7
"2Story",3,1,1,3288,"Attchd","MetalSd","MetalSd",7,5
"1Story",3,2,0,3268,"Attchd","VinylSd","VinylSd",5,8
"2Story",3,2,1,3420,"Attchd","HdBoard","HdBoard",5,6
"1Story",1,1,1,3004,"Attchd","HdBoard","HdBoard",5,8
"2Story",3,2,1,3938,"Attchd","WdShing","Plywood",6,7
"SLvl",2,1,0,2144,"Basment","VinylSd","VinylSd",5,6
"1Story",2,2,0,3952,"Attchd","VinylSd","VinylSd",5,8
"1Story",2,2,0,3304,"Attchd","CemntBd","CmentBd",5,8
"1Story",2,1,0,1940,"Detchd","HdBoard","HdBoard",6,5
"1Story",3,2,0,2986,"Attchd","VinylSd","VinylSd",5,6
"2Story",3,2,1,5286,"BuiltIn","VinylSd","VinylSd",5,9
"1Story",3,2,0,3436,"Attchd","VinylSd","VinylSd",5,8
"1Story",2,1,0,2262,"Detchd","Stucco","Stucco",7,4
"1Story",3,2,0,3700,"Attchd","VinylSd","VinylSd",5,9
"1Story",2,2,0,3584,"Attchd","VinylSd","VinylSd",5,9
"2Story",4,1,1,3652,"Attchd","Stucco","Stucco",8,7
"1Story",2,2,0,2432,"Attchd","VinylSd","VinylSd",5,6
"1Story",3,1,0,1998,"Detchd","HdBoard","Plywood",7,5
"1Story",3,1,0,2226,"Attchd","MetalSd","MetalSd",7,5
"1Story",3,1,1,2146,"Attchd","MetalSd","MetalSd",7,5
"1Story",3,2,0,2968,"Attchd","Plywood","Plywood",6,5
"1.5Fin",3,2,0,4828,"Attchd","Wd Sdng","Wd Sdng",4,5
"SFoyer",1,1,0,1260,"Attchd","CemntBd","CmentBd",8,4
"2Story",3,1,1,2608,"BuiltIn","CemntBd","CmentBd",6,5
"1.5Fin",3,1,0,3156,"Attchd","Wd Sdng","Wd Sdng",7,6
"2Story",3,2,1,2912,"Attchd","VinylSd","VinylSd",5,6
"1Story",3,1,1,2538,"Detchd","BrkFace","Wd Sdng",6,5
"1Story",2,1,0,1772,"Attchd","MetalSd","MetalSd",8,5
"1Story",2,1,0,1440,"0","Wd Sdng","Wd Sdng",5,4
"1Story",4,3,0,6456,"Attchd","BrkFace","BrkFace",5,8
"1.5Fin",4,2,0,3640,"Detchd","Wd Sdng","Wd Sdng",6,7
"1Story",3,1,0,1798,"Attchd","HdBoard","HdBoard",7,5
"1Story",2,1,0,1824,"Attchd","MetalSd","MetalSd",7,5
"2Story",3,1,1,2436,"Detchd","HdBoard","HdBoard",5,6
"2Story",3,2,1,3536,"Attchd","VinylSd","VinylSd",5,7
"1Story",2,1,0,2428,"Detchd","MetalSd","MetalSd",7,5
"1Story",1,2,0,3602,"Attchd","BrkFace","Wd Sdng",8,7
"2Story",3,2,1,2644,"Attchd","Plywood","Brk Cmn",5,6
"2Story",4,2,0,3920,"Detchd","Wd Sdng","Wd Sdng",5,5
"2Story",3,2,1,3822,"Attchd","VinylSd","VinylSd",5,8
"1Story",2,2,0,2436,"Attchd","VinylSd","VinylSd",5,6
"2Story",3,2,0,2756,"Detchd","MetalSd","MetalSd",9,7
"1Story",3,1,0,2082,"Attchd","MetalSd","MetalSd",6,5
"1Story",2,1,0,2726,"CarPort","Wd Sdng","Wd Sdng",7,5
"1Story",2,2,0,2736,"Attchd","VinylSd","VinylSd",5,7
"1Story",3,1,0,1728,"Detchd","VinylSd","VinylSd",5,5
"1Story",3,1,1,2160,"Attchd","VinylSd","VinylSd",5,6
"1.5Unf",2,1,0,1578,"Detchd","Wd Sdng","Wd Sdng",5,5
"1Story",3,2,1,4040,"Attchd","CemntBd","CmentBd",5,10
"SLvl",3,2,1,4238,"Attchd","HdBoard","HdBoard",6,6
"2Story",3,2,1,4688,"Attchd","VinylSd","VinylSd",5,7
"2Story",3,2,1,3592,"Attchd","VinylSd","VinylSd",5,6
"2Story",3,1,1,4160,"Detchd","MetalSd","MetalSd",9,7
"2Story",3,2,0,2588,"0","MetalSd","MetalSd",7,4
"1Story",3,1,1,2488,"Attchd","VinylSd","VinylSd",6,6
"1.5Fin",3,2,0,3328,"Detchd","CemntBd","CmentBd",7,6
"2Story",3,3,1,9352,"BuiltIn","CemntBd","CmentBd",5,10
"2Story",3,2,1,4796,"Attchd","VinylSd","VinylSd",5,7
"1Story",3,2,0,2532,"Attchd","VinylSd","VinylSd",5,7
"1Story",2,1,0,1856,"Attchd","Wd Sdng","Wd Sdng",7,5
"2Story",3,2,1,5426,"Attchd","VinylSd","VinylSd",5,9
"1Story",2,1,0,1210,"0","Wd Sdng","Wd Sdng",7,4
"1Story",4,3,0,5030,"Attchd","Wd Sdng","Stone",3,6
"SLvl",3,2,0,3018,"Attchd","HdBoard","HdBoard",5,6
"2Story",3,2,0,2724,"Detchd","Wd Sdng","Wd Sdng",8,6
"1Story",2,1,0,1654,"Detchd","VinylSd","VinylSd",7,5
"1Story",1,1,0,668,"0","VinylSd","VinylSd",3,1
"2Story",3,2,1,2828,"Attchd","VinylSd","VinylSd",5,8
"2Story",3,1,0,2694,"0","MetalSd","MetalSd",7,5
"2Story",3,2,1,3448,"Attchd","VinylSd","VinylSd",5,7
"1Story",3,1,0,1728,"Detchd","MetalSd","MetalSd",5,4
"1Story",3,1,1,2318,"Attchd","Plywood","Plywood",5,5
"1Story",3,2,0,3202,"Attchd","VinylSd","VinylSd",5,8
"1Story",2,2,0,3676,"Attchd","VinylSd","VinylSd",5,9
"2Story",4,2,1,4570,"BuiltIn","VinylSd","VinylSd",5,8
"1Story",3,2,0,3360,"Attchd","VinylSd","VinylSd",5,7
"SFoyer",1,1,0,1534,"Attchd","MetalSd","MetalSd",5,7
"2Story",3,2,1,2992,"Attchd","VinylSd","VinylSd",5,7
"1.5Fin",4,2,1,4366,"Attchd","HdBoard","HdBoard",5,7
"1.5Fin",3,1,1,3270,"Detchd","BrkFace","Wd Sdng",7,6
"SFoyer",2,1,0,1536,"Detchd","VinylSd","VinylSd",7,5
"1Story",2,1,0,1650,"Detchd","MetalSd","MetalSd",7,5
"2Story",4,2,1,4188,"BuiltIn","VinylSd","VinylSd",5,7
"1Story",2,2,0,2138,"Attchd","Plywood","Plywood",6,6
"1Story",3,1,0,1856,"Attchd","BrkFace","BrkFace",6,5
"1Story",3,2,0,3434,"Attchd","VinylSd","VinylSd",5,8
"1Story",2,2,0,2252,"Detchd","VinylSd","VinylSd",5,4
"2Story",3,2,1,4092,"BuiltIn","VinylSd","VinylSd",5,7
"1.5Unf",2,1,0,2096,"Detchd","MetalSd","MetalSd",6,5
"1Story",2,1,0,2184,"Attchd","Wd Sdng","Wd Sdng",5,5
"1.5Fin",3,1,1,2672,"CarPort","MetalSd","MetalSd",6,4
"2Story",3,2,1,2892,"Attchd","HdBoard","HdBoard",5,7
"1Story",2,2,0,3114,"Attchd","VinylSd","VinylSd",5,7
"1Story",3,1,1,2784,"Detchd","Wd Sdng","Wd Sdng",6,5
"1Story",2,1,0,2778,"Attchd","HdBoard","HdBoard",5,5
"1Story",3,1,0,1992,"0","WdShing","Wd Shng",6,5
"1.5Fin",4,2,0,3348,"Detchd","Wd Sdng","Wd Sdng",7,6
"2Story",4,2,1,4590,"Attchd","HdBoard","HdBoard",5,7
"2Story",4,1,1,3294,"Detchd","Wd Sdng","Wd Sdng",4,6
"2Story",4,2,1,5008,"BuiltIn","VinylSd","VinylSd",5,9
"1Story",3,2,0,3070,"Attchd","VinylSd","VinylSd",5,7
"1.5Fin",1,1,1,4264,"BuiltIn","Wd Sdng","Wd Sdng",8,8
"SFoyer",2,1,0,1886,"Detchd","MetalSd","MetalSd",5,5
"1Story",6,2,0,3456,"Detchd","HdBoard","HdBoard",5,5
"1Story",2,1,0,1728,"Attchd","WdShing","Wd Shng",6,6
"2Story",3,2,1,3384,"Attchd","VinylSd","VinylSd",5,7
"SLvl",3,2,1,2860,"BuiltIn","VinylSd","VinylSd",5,7
"SLvl",3,1,0,2218,"BuiltIn","MetalSd","AsphShn",7,5
"1.5Fin",2,1,0,2432,"Detchd","MetalSd","MetalSd",5,5
"1.5Fin",3,2,0,2954,"Detchd","Wd Sdng","Wd Sdng",7,7
"SLvl",3,1,0,2640,"Attchd","VinylSd","VinylSd",6,5
"2Story",2,2,0,2784,"Detchd","VinylSd","VinylSd",5,7
"1.5Fin",4,2,0,3590,"Attchd","MetalSd","MetalSd",5,5
"1Story",3,1,0,2858,"Attchd","Wd Sdng","Wd Sdng",6,6
"1Story",3,2,1,4084,"Attchd","VinylSd","VinylSd",5,8
"SFoyer",3,1,0,1632,"0","HdBoard","HdBoard",5,6
"2.5Unf",3,3,1,5550,"Detchd","Wd Sdng","Wd Sdng",9,10
"1.5Fin",3,1,0,3146,"Detchd","AsbShng","AsbShng",7,4
"1Story",2,2,0,4056,"Attchd","VinylSd","VinylSd",5,8
"1Story",2,1,0,1676,"Detchd","Stucco","Wd Shng",7,6
"SFoyer",2,1,0,1720,"Detchd","HdBoard","HdBoard",6,5
"1Story",1,1,0,2946,"Attchd","Wd Sdng","Wd Sdng",8,5
"1Story",2,1,0,1714,"Detchd","VinylSd","VinylSd",6,5
"2Story",3,2,1,3164,"Attchd","VinylSd","VinylSd",5,7
"2Story",3,2,1,4592,"BuiltIn","CemntBd","CmentBd",5,10
"1Story",2,1,0,1632,"Detchd","HdBoard","HdBoard",8,5
"1Story",1,1,0,1696,"Attchd","VinylSd","VinylSd",5,6
"1Story",3,1,0,1848,"Detchd","HdBoard","HdBoard",6,5
"1Story",3,2,0,3652,"Attchd","VinylSd","Other",5,8
"2Story",3,1,0,2736,"Detchd","VinylSd","VinylSd",7,6
"1Story",2,0,2,2804,"Attchd","VinylSd","VinylSd",5,7
"1Story",3,2,0,3294,"Attchd","Plywood","Plywood",6,5
"2Story",3,2,1,3112,"Attchd","MetalSd","MetalSd",6,6
"2Story",3,2,1,3808,"BuiltIn","VinylSd","VinylSd",5,8
"1.5Fin",3,1,1,2750,"Detchd","Wd Sdng","Wd Sdng",6,6
"2Story",3,2,1,3830,"Attchd","HdBoard","HdBoard",5,8
"2Story",2,2,1,2400,"Detchd","MetalSd","MetalSd",5,7
"1Story",3,2,0,2988,"Attchd","VinylSd","VinylSd",5,7
"2Story",3,2,1,3972,"Attchd","HdBoard","HdBoard",6,7
"1Story",3,1,0,2080,"Detchd","VinylSd","VinylSd",5,5
"2Story",3,3,0,4016,"Attchd","MetalSd","MetalSd",8,5
"2Story",4,2,1,6388,"Basment","BrkFace","Wd Sdng",6,8
"1Story",3,1,0,2058,"Attchd","VinylSd","VinylSd",5,4
"2Story",3,2,1,4306,"Attchd","VinylSd","VinylSd",5,9
"SLvl",3,2,0,2064,"Attchd","HdBoard","HdBoard",6,6
"2Story",3,2,1,3744,"BuiltIn","VinylSd","VinylSd",5,8
"1Story",3,1,0,2240,"0","VinylSd","VinylSd",5,5
"SFoyer",1,1,0,1260,"0","CemntBd","CmentBd",6,4
"SFoyer",3,1,0,2108,"Attchd","MetalSd","MetalSd",7,6
"2Story",3,2,1,3018,"Attchd","VinylSd","VinylSd",5,6
"1.5Unf",2,1,0,1664,"Detchd","MetalSd","MetalSd",6,6
"1Story",3,2,0,3656,"Attchd","CemntBd","CmentBd",5,9
"2Story",4,2,1,4524,"Attchd","VinylSd","VinylSd",5,8
"1Story",2,1,0,1728,"0","Stucco","Stucco",3,3
"2Story",4,2,1,5228,"Attchd","HdBoard","HdBoard",7,6
"1Story",3,1,0,1960,"Detchd","Plywood","Plywood",6,5
"2Story",2,2,1,3024,"Detchd","MetalSd","MetalSd",5,6
"2Story",4,1,2,3580,"Attchd","VinylSd","VinylSd",5,6
"1Story",3,1,1,2232,"Attchd","Wd Sdng","Wd Sdng",6,6
"1Story",3,1,0,2844,"Attchd","Wd Sdng","Wd Sdng",5,5
"SLvl",3,1,0,3040,"Basment","AsbShng","AsbShng",6,6
"2Story",5,1,2,4160,"Attchd","Plywood","Plywood",5,5
"SLvl",3,1,1,2700,"Attchd","Plywood","Wd Sdng",5,6
"2Story",3,1,0,3500,"Detchd","VinylSd","VinylSd",6,5
"1Story",2,2,0,3108,"Attchd","VinylSd","VinylSd",5,8
"1Story",3,2,0,2822,"Attchd","Plywood","Plywood",5,7
"1Story",3,1,0,2112,"Attchd","Wd Sdng","Wd Sdng",7,5
"SFoyer",0,0,0,2112,"Detchd","Plywood","Plywood",5,6
"2.5Fin",8,2,0,6275,"0","VinylSd","VinylSd",7,6
"1Story",1,1,0,1600,"0","AsbShng","AsbShng",3,2
"1.5Fin",3,2,0,2774,"BuiltIn","Wd Sdng","Wd Sdng",4,5
"1Story",2,1,0,1592,"0","MetalSd","Wd Sdng",7,5
"1Story",1,2,0,3134,"Attchd","VinylSd","VinylSd",5,8
"1Story",1,1,1,3036,"Attchd","MetalSd","MetalSd",5,8
"2Story",3,2,1,3858,"Attchd","VinylSd","VinylSd",5,7
"SLvl",4,2,1,5408,"Attchd","Plywood","Wd Sdng",7,8
"2Story",4,2,1,3240,"Attchd","WdShing","HdBoard",5,5
"1Story",2,2,1,3532,"Attchd","CemntBd","CmentBd",5,9
"1Story",3,1,1,1962,"Detchd","Plywood","Plywood",5,6
"1Story",3,1,0,2096,"Detchd","MetalSd","MetalSd",5,5
"1Story",3,1,0,2188,"Attchd","Wd Sdng","Wd Sdng",5,6
"2Story",4,1,1,3678,"Attchd","MetalSd","MetalSd",5,6
"SFoyer",1,1,0,1260,"0","CemntBd","CmentBd",6,4
"2Story",3,2,1,3330,"Attchd","CemntBd","CmentBd",6,7
"2Story",4,1,0,3020,"Detchd","MetalSd","MetalSd",5,4
"2Story",2,2,1,3432,"Attchd","VinylSd","VinylSd",5,7
"1.5Fin",3,1,0,2938,"Detchd","MetalSd","MetalSd",7,6
"1Story",2,2,1,4226,"Attchd","MetalSd","MetalSd",6,8
"2Story",3,1,1,2184,"Detchd","HdBoard","ImStucc",5,6
"1Story",3,1,1,2106,"Attchd","HdBoard","HdBoard",7,5
"2Story",3,1,1,3004,"Attchd","Stucco","Wd Shng",6,7
"1.5Fin",3,1,0,2916,"Attchd","VinylSd","VinylSd",5,6
"1Story",3,1,0,2972,"Detchd","MetalSd","MetalSd",7,5
"2Story",3,2,1,3870,"Attchd","Plywood","Plywood",7,7
"2Story",4,2,1,4896,"Attchd","VinylSd","VinylSd",7,8
"1Story",2,1,0,2784,"Attchd","Wd Sdng","Wd Sdng",3,6
"SFoyer",3,2,0,2362,"Detchd","Plywood","Plywood",5,4
"1Story",1,1,1,4194,"Attchd","VinylSd","VinylSd",5,8
"2Story",3,2,1,3872,"Attchd","VinylSd","VinylSd",5,8
"2Story",3,2,1,4760,"CarPort","Plywood","Plywood",5,6
"1Story",3,2,0,3358,"Attchd","HdBoard","HdBoard",5,6
"1Story",3,1,1,2874,"Detchd","CemntBd","Wd Sdng",6,5
"1Story",2,1,0,2360,"Detchd","MetalSd","MetalSd",5,4
"2Story",3,2,1,2952,"Attchd","VinylSd","VinylSd",5,6
"2Story",3,2,0,2738,"Detchd","Wd Sdng","Wd Sdng",6,6
"1Story",3,1,1,2416,"Attchd","Plywood","Plywood",6,6
"1Story",3,2,0,3678,"Attchd","CemntBd","CmentBd",7,6
"1Story",3,1,0,2272,"Attchd","HdBoard","HdBoard",6,6
"2Story",3,2,1,2882,"Attchd","Plywood","Brk Cmn",6,6
"2Story",4,2,0,3548,"2Types","AsbShng","Stucco",2,4
"1Story",2,1,0,1584,"Detchd","VinylSd","VinylSd",8,5
"1Story",3,2,1,4092,"Attchd","VinylSd","VinylSd",5,8
"1Story",3,1,0,1976,"Detchd","Wd Sdng","Wd Sdng",5,5
"1Story",2,2,0,1846,"Attchd","Plywood","Plywood",5,6
"1.5Fin",3,1,0,3040,"Detchd","VinylSd","Stucco",5,5
"1Story",2,1,0,2582,"Attchd","Wd Sdng","Wd Sdng",5,6
"1Story",3,2,0,3336,"Attchd","VinylSd","VinylSd",5,9
"2Story",4,2,1,3678,"Attchd","VinylSd","VinylSd",5,7
"2Story",3,2,0,4180,"Attchd","HdBoard","HdBoard",5,7
"2Story",3,3,0,3522,"Attchd","VinylSd","VinylSd",6,7
"2Story",2,2,1,2204,"Detchd","MetalSd","MetalSd",5,7
"1Story",2,2,0,2838,"Attchd","MetalSd","MetalSd",6,8
"1Story",2,2,0,2724,"Attchd","VinylSd","VinylSd",5,6
"1Story",1,1,0,1696,"Attchd","VinylSd","VinylSd",5,6
"2Story",4,3,1,8632,"Attchd","HdBoard","HdBoard",6,10
"2Story",4,2,1,5038,"Attchd","MetalSd","MetalSd",5,7
"1Story",2,1,0,2146,"Detchd","MetalSd","MetalSd",6,5
"1.5Fin",3,1,1,3078,"Detchd","Wd Sdng","Wd Sdng",6,5
"1Story",2,2,0,2274,"Attchd","HdBoard","HdBoard",6,6
"1Story",2,1,0,1232,"Detchd","Wd Sdng","Wd Shng",7,5
"1Story",2,1,0,2296,"Detchd","Wd Sdng","Wd Sdng",7,5
"1Story",3,1,0,1788,"Detchd","MetalSd","MetalSd",8,5
"1Story",2,2,0,2782,"Attchd","MetalSd","MetalSd",5,7
"1Story",3,2,0,3600,"Attchd","VinylSd","VinylSd",5,8
"1Story",3,1,1,2328,"Attchd","HdBoard","HdBoard",5,7
"2Story",4,2,1,5152,"BuiltIn","VinylSd","VinylSd",5,8
"2Story",4,2,0,3624,"Detchd","Wd Sdng","Wd Sdng",9,5
"1Story",3,2,0,2968,"Attchd","VinylSd","VinylSd",5,7
"2Story",3,2,0,2184,"0","VinylSd","Wd Shng",5,4
"1Story",2,2,0,3648,"Attchd","Plywood","Plywood",5,7
"1Story",2,2,0,2648,"Attchd","MetalSd","MetalSd",5,8
"2Story",3,2,1,2912,"Attchd","VinylSd","VinylSd",5,7
"1Story",3,1,0,1808,"Attchd","HdBoard","HdBoard",7,5
"1Story",2,1,0,1458,"0","VinylSd","VinylSd",6,3
"1.5Fin",2,1,0,2356,"Detchd","MetalSd","MetalSd",7,4
"1Story",2,2,0,2456,"Attchd","HdBoard","HdBoard",5,8
"1Story",3,1,0,1920,"Detchd","HdBoard","HdBoard",5,4
"2Story",3,2,1,2958,"Attchd","HdBoard","Plywood",8,6
"1Story",3,2,0,2700,"Attchd","HdBoard","HdBoard",5,6
"2Story",3,1,1,5108,"Detchd","Wd Sdng","VinylSd",8,7
"1Story",3,1,1,2356,"Attchd","HdBoard","HdBoard",6,5
"2Story",3,2,1,4836,"Attchd","Wd Sdng","ImStucc",5,7
"1Story",3,1,1,1942,"Attchd","HdBoard","Plywood",6,5
"1Story",2,2,0,3484,"Attchd","HdBoard","HdBoard",5,8
"1Story",1,1,0,1696,"Attchd","VinylSd","VinylSd",5,6
"1Story",3,1,0,1728,"Detchd","MetalSd","MetalSd",7,4
"1.5Fin",4,2,0,2940,"Detchd","MetalSd","MetalSd",6,4
"1Story",3,2,0,3396,"Attchd","CemntBd","CmentBd",5,9
"1Story",3,1,0,1728,"Detchd","HdBoard","Plywood",6,4
"1Story",3,2,0,3360,"Attchd","Wd Sdng","Plywood",9,6
"1Story",2,2,0,2464,"Attchd","VinylSd","VinylSd",5,7
"1Story",4,2,0,3552,"Detchd","VinylSd","VinylSd",5,5
"1.5Fin",2,1,0,2056,"Detchd","MetalSd","MetalSd",5,4
"1Story",2,2,0,3232,"Attchd","CemntBd","CmentBd",5,8
"SLvl",3,2,0,2292,"Attchd","VinylSd","VinylSd",5,7
"2Story",3,2,1,4062,"Attchd","VinylSd","VinylSd",5,7
"1Story",3,1,0,2288,"Attchd","HdBoard","HdBoard",6,5
"1Story",3,1,0,1896,"Attchd","Plywood","Plywood",5,5
"2.5Unf",2,1,1,3536,"Detchd","Wd Sdng","Wd Sdng",7,7
"1Story",2,2,0,2080,"Detchd","Stucco","Stone",4,3
"2Story",3,2,1,3602,"Attchd","VinylSd","VinylSd",5,8
"1Story",3,3,0,2400,"0","Plywood","Plywood",5,5
"2Story",3,2,1,3456,"Attchd","VinylSd","VinylSd",5,7
"2Story",2,2,0,2864,"Detchd","Wd Sdng","Wd Shng",7,5
"1Story",3,1,0,1824,"Detchd","HdBoard","HdBoard",8,6
"1Story",3,2,0,2698,"Attchd","VinylSd","VinylSd",5,7
"SLvl",3,2,0,2928,"Attchd","HdBoard","HdBoard",6,5
"1Story",2,2,0,2674,"Attchd","HdBoard","HdBoard",5,8
"2Story",4,3,1,5430,"BuiltIn","VinylSd","VinylSd",9,8
"2Story",4,2,1,4512,"BuiltIn","VinylSd","VinylSd",5,7
"2Story",4,1,1,5280,"Detchd","Stucco","Stucco",7,7
"1Story",3,2,0,3440,"Attchd","VinylSd","VinylSd",5,7
"1.5Fin",4,2,0,3058,"Detchd","WdShing","Wd Shng",3,4
"1.5Fin",3,1,0,2280,"0","Wd Sdng","Wd Sdng",7,4
"2Story",3,2,1,2640,"Attchd","VinylSd","VinylSd",5,7
"1Story",3,2,0,2988,"Attchd","VinylSd","VinylSd",5,6
