"HouseStyle","No_of_Bedrooms","No_of_Bath","Garage_Type","Total_Sqft","Lot_Location","YearBuilt","Year_Remodeled","FirstExterior","SecondExterior","MasonryVeneer_Type","Neighborhood","Overall_Quality","Overall_Condition","Sale_Condition","Actual Price","Predicted Sale Price","MLR Complete"
"2Story",3,2.5,"Attchd",1664,"Inside",2000,2000,"VinylSd","VinylSd","None","Gilbert",6,5,"Normal",172400,190867.3743280724,192822.21896899724
"1.5Fin",4,2,"Detchd",1588,"Inside",1959,1959,"WdShing","Plywood","None","ClearCr",4,4,"Normal",134432,109939.66849486399,110717.26228257385
"1Story",2,1,"Attchd",752,"Inside",1984,1984,"Plywood","Plywood","None","SawyerW",6,5,"Normal",125000,135289.23270294123,145560.95073690265
"1Story",3,1,"Attchd",1319,"Inside",1953,1953,"MetalSd","MetalSd","None","NAmes",5,6,"Normal",123000,124826.82547756314,141435.51108365948
"2Story",4,2.5,"BuiltIn",1928,"Inside",2003,2004,"VinylSd","VinylSd","None","CollgCr",7,5,"Normal",219500,237914.41606516263,225058.5174490027
"1Story",1,0.5,"0",904,"Inside",1922,1950,"Wd Sdng","Wd Sdng","None","Edwards",1,1,"Normal",61000,-15155.325464724534,-5665.84114017291
"SFoyer",2,1,"Detchd",914,"CulDSac",1996,1996,"VinylSd","VinylSd","None","CollgCr",5,5,"Normal",148000,122288.52287533131,124661.8629144195
"2Story",4,3,"Attchd",2466,"Corner",2004,2005,"CemntBd","CmentBd","None","Somerst",8,5,"Normal",340000,297396.9513623973,303462.07699197694
"1Story",1,1.5,"Attchd",1856,"Corner",2010,2010,"VinylSd","VinylSd","Stone","StoneBr",9,2,"Partial",394432,299882.9335807221,317774.17916683736
"2Story",3,2.5,"Attchd",1800,"Inside",2000,2000,"VinylSd","VinylSd","BrkFace","Gilbert",6,5,"Normal",179000,199119.10009100076,200913.76553817838
"1.5Fin",3,2,"Detchd",1691,"Inside",1924,1950,"BrkFace","Wd Sdng","None","SWISU",5,6,"Normal",127000,140556.423878017,151669.98017522716
"1Story",2,2,"Attchd",1301,"Inside",2006,2006,"VinylSd","VinylSd","None","Somerst",7,5,"Partial",187750,203548.40179100115,222127.30983130354
"2Story",3,2.5,"Attchd",1797,"Inside",2006,2006,"VinylSd","VinylSd","None","CollgCr",7,5,"Normal",213500,230990.93937870394,227413.14298009267
"1.5Unf",2,1,"Detchd",784,"Corner",1928,1950,"Wd Sdng","Wd Sdng","None","SawyerW",6,3,"Normal",76000,119807.90953724111,96951.13176206313
"2Story",3,2.5,"Attchd",1953,"Corner",1992,1992,"HdBoard","HdBoard","None","ClearCr",6,5,"Normal",240000,204302.78435120016,213535.85206614668
"1Story",2,2,"Attchd",1269,"Inside",2004,2005,"VinylSd","VinylSd","BrkFace","Blmngtn",8,5,"Normal",192000,230073.61308846,218616.75970880594
"1.5Fin",5,1,"0",1184,"FR2",1910,1996,"Wd Sdng","VinylSd","None","Edwards",5,3,"AdjLand",81000,138670.6254929097,60466.440131878946
"SLvl",3,1,"Detchd",1125,"Inside",1976,1976,"MetalSd","MetalSd","BrkFace","Edwards",6,6,"Abnorml",125000,153821.29687376,123304.80592662003
"1Story",3,2,"Attchd",1479,"CulDSac",1999,2000,"VinylSd","VinylSd","BrkFace","CollgCr",7,5,"Normal",191000,211273.82421045378,208228.68808860937
"2Story",3,2.5,"BuiltIn",2332,"Inside",2007,2008,"VinylSd","VinylSd","Stone","NridgHt",10,5,"Partial",426000,351414.3458473369,347458.5085458241
"1.5Fin",4,1,"Detchd",1367,"Inside",1900,1950,"MetalSd","MetalSd","None","Edwards",5,8,"Normal",119000,126201.88406758312,110005.96273446665
"2Story",3,2.5,"BuiltIn",1961,"CulDSac",2001,2002,"VinylSd","VinylSd","None","Mitchel",6,5,"Normal",215000,209912.56401318236,221155.08247001655
"1Story",3,1,"Attchd",882,"Inside",1959,1959,"MetalSd","MetalSd","None","NAmes",5,7,"Normal",106500,101386.71943606311,114773.54550525127
"1Story",2,1,"0",788,"Corner",1941,1950,"WdShing","Wd Shng","None","BrkSide",4,5,"Abnorml",100000,62092.14288819894,54280.38637986453
"1.5Fin",2,1,"Detchd",1034,"Inside",1940,1950,"MetalSd","MetalSd","None","OldTown",5,6,"Normal",109000,105997.29083923645,122342.78981506685
"1Story",3,1,"Attchd",1144,"Inside",1956,1956,"Wd Sdng","Wd Sdng","None","Edwards",5,6,"Normal",129000,115746.11121186742,124664.78584770346
"1Story",2,1,"Detchd",894,"Inside",1972,1972,"MetalSd","MetalSd","None","CollgCr",5,5,"Normal",123000,108776.51212326267,114868.74214337766
"2Story",4,2,"Attchd",1812,"Inside",1962,1962,"VinylSd","VinylSd","BrkFace","NAmes",5,5,"Normal",169500,154047.2936635002,151223.17343718698
"1Story",2,1,"Detchd",1077,"Corner",1920,1950,"MetalSd","MetalSd","None","IDOTRR",5,2,"Abnorml",67000,108606.29236722116,66462.76223697118
"2Story",2,2,"Attchd",1550,"Inside",2006,2007,"CemntBd","CmentBd","Stone","Somerst",7,5,"Normal",241000,219168.77927454363,236070.58638550574
"1Story",1,1.5,"Attchd",1288,"Inside",1996,1996,"BrkFace","BrkFace","None","Veenker",8,5,"Normal",245500,229266.47375645256,249153.95961264241
"1Story",3,2,"Attchd",1310,"Inside",2005,2005,"VinylSd","VinylSd","None","CollgCr",7,5,"Partial",164990,203582.0334753669,203016.270204518
"1Story",2,1,"Detchd",672,"Inside",1940,1997,"Wd Sdng","Wd Sdng","None","Sawyer",5,8,"Normal",108000,108117.74337653683,100617.20652818168
"2Story",4,2.5,"BuiltIn",2263,"Corner",1998,1998,"VinylSd","VinylSd","BrkFace","NoRidge",8,5,"Abnorml",258000,284144.96001726587,261502.46103821858
"2Story",3,2.5,"BuiltIn",1572,"Inside",1995,1996,"MetalSd","MetalSd","None","Gilbert",6,5,"Normal",168000,183235.5709357204,180217.29860636266
"1Story",3,2,"Attchd",1620,"Corner",1976,1993,"Plywood","Plywood","None","Sawyer",4,4,"Normal",150000,129304.15672547155,149707.06070508878
"1.5Fin",3,1,"Detchd",1639,"Inside",1936,1950,"MetalSd","MetalSd","None","SWISU",6,5,"Normal",115000,171684.56782623928,176941.01698338008
"2Story",4,2,"Attchd",1680,"Inside",1915,1976,"Wd Sdng","Plywood","None","Crawfor",6,7,"Normal",177000,182191.6355903443,139413.47311547794
"2Story",3,2.5,"Attchd",2172,"Corner",2006,2006,"VinylSd","VinylSd","BrkFace","NridgHt",7,5,"Partial",280000,253743.8596808961,269480.2633213862
"2Story",3,2.5,"Attchd",2078,"Inside",2007,2008,"VinylSd","VinylSd","Stone","Somerst",8,5,"Partial",339750,278044.57003038644,289643.09124725685
"1Story",3,1,"Attchd",1276,"Inside",1958,1958,"BrkComm","Brk Cmn","None","Edwards",5,3,"Abnorml",60000,124780.01596401283,107660.76705535641
"1Story",3,1,"Attchd",1056,"Inside",1955,1955,"Wd Sdng","Wd Sdng","None","Gilbert",5,5,"Normal",145000,109894.32084473278,111172.57709739567
"1Story",2,2.5,"Attchd",1478,"Inside",2009,2009,"MetalSd","MetalSd","Stone","Somerst",7,5,"Partial",222000,213173.1037169664,238356.25033946475
"1Story",2,1,"Detchd",1028,"Inside",1927,1950,"WdShing","Wd Shng","None","OldTown",5,6,"Normal",115000,105633.24411440137,105715.30580408429
"2Story",3,2.5,"Attchd",2097,"CulDSac",1993,1993,"VinylSd","VinylSd","None","SawyerW",7,5,"Normal",228000,242531.57638292827,254749.30949101853
"1Story",3,2,"Attchd",1340,"Inside",2007,2007,"VinylSd","VinylSd","None","Gilbert",7,5,"Partial",181134,206427.143905316,208900.11912360438
"2Story",3,1.5,"Attchd",1400,"Inside",1978,1978,"HdBoard","HdBoard","BrkFace","Sawyer",6,7,"Normal",149500,168879.65690247796,181039.60113040474
"2Story",4,2.5,"Detchd",2624,"Inside",1918,1950,"Wd Sdng","Stucco","None","Crawfor",6,6,"Normal",239000,223492.93015734054,205316.71942220558
"1.5Fin",3,1.5,"Detchd",1134,"Inside",1940,1950,"MetalSd","MetalSd","None","Edwards",5,6,"AdjLand",126000,109412.74458782429,98985.67515908601
"1Story",3,1,"Attchd",1056,"Inside",1968,1968,"VinylSd","VinylSd","None","NAmes",5,6,"Normal",142000,116556.02008226218,129543.4663138343
"SFoyer",2,2,"Attchd",1344,"Inside",1997,1998,"VinylSd","VinylSd","BrkFace","Mitchel",7,5,"Alloca",206300,202057.89609589084,186914.2182467559
"1Story",3,2,"Attchd",1602,"FR2",1977,2000,"CemntBd","CmentBd","Stone","NWAmes",6,7,"Normal",215000,189757.54983677337,207855.11204426154
"1Story",2,1,"Attchd",988,"Inside",1954,1954,"HdBoard","HdBoard","None","Mitchel",5,5,"Normal",113000,105256.01956038173,117469.41110826656
"2Story",4,2.5,"Attchd",2630,"Inside",1998,1998,"VinylSd","VinylSd","BrkFace","NoRidge",8,5,"Normal",315000,306412.4846863446,306071.6442798276
"1Story",2,1,"Attchd",1196,"Inside",1956,1956,"Wd Sdng","Wd Sdng","BrkFace","NAmes",6,5,"Normal",139000,147880.4150599042,152770.59557840507
"2Story",3,1.5,"Detchd",1389,"Inside",1946,1992,"HdBoard","HdBoard","None","OldTown",7,8,"Normal",135000,204365.6077801627,183714.51362103294
"SLvl",2,2,"Attchd",1644,"Inside",1989,1989,"Wd Sdng","Wd Sdng","BrkFace","SawyerW",7,5,"Normal",275000,215648.2867116627,216038.63678589487
"1Story",3,1,"Detchd",907,"Inside",1957,1957,"MetalSd","MetalSd","None","NAmes",4,6,"Normal",109008,72899.4717509694,84935.13807903114
"1Story",2,2,"Attchd",1208,"Inside",2007,2007,"VinylSd","VinylSd","BrkFace","CollgCr",7,5,"Partial",195400,198418.11595894437,201741.45892638504
"1Story",3,2,"Attchd",1412,"Corner",1988,1988,"HdBoard","HdBoard","None","Timber",6,5,"Normal",175000,172080.14271568682,190265.7974058357
"2Story",2,1.5,"Detchd",987,"Inside",1971,1971,"HdBoard","HdBoard","BrkFace","BrDale",6,5,"Abnorml",85400,140234.03852278885,109193.11526740598
"1.5Fin",4,1,"0",1198,"Inside",1920,1998,"MetalSd","MetalSd","None","OldTown",6,7,"Abnorml",79900,169524.1768894314,124368.51870397944
"2Story",2,1.5,"Detchd",1365,"Inside",1971,1971,"HdBoard","HdBoard","BrkFace","BrDale",5,5,"Normal",122500,134189.7499545991,135361.67727304157
"2Story",3,2.5,"Attchd",1604,"Corner",1997,1998,"VinylSd","VinylSd","None","Gilbert",6,5,"Normal",181000,186202.0302739479,188817.59768758714
"SFoyer",1,1,"0",630,"Inside",1972,1972,"CemntBd","CmentBd","None","MeadowV",4,7,"Normal",81000,63779.223997719935,91162.96756525198
"2Story",3,2.5,"Attchd",1661,"CulDSac",1996,1996,"VinylSd","VinylSd","None","CollgCr",7,6,"Normal",212000,217614.8295869068,216725.1444403173
"1.5Fin",2,1,"Detchd",1118,"Inside",1920,1950,"Stucco","Stucco","None","OldTown",6,8,"Normal",116000,140073.17721972696,147526.93676370708
"1.5Unf",2,1,"Detchd",904,"Inside",1926,2004,"Wd Sdng","Wd Sdng","None","BrkSide",6,7,"Normal",119000,154760.517789834,118881.62627599179
"1Story",2,1,"Detchd",694,"Inside",1913,2002,"WdShing","Stucco","None","Crawfor",5,6,"Normal",90350,112014.77338203316,63409.59679500782
"1.5Fin",3,1,"Detchd",1196,"Corner",1920,2000,"Wd Sdng","Wd Sdng","None","Edwards",6,8,"Normal",110000,170427.7047869268,144445.640262119
"1Story",2,2,"Attchd",2402,"Inside",2008,2008,"VinylSd","VinylSd","Stone","NridgHt",10,5,"Normal",555000,358313.5493024095,375624.71649215976
"1Story",4,2,"0",1440,"Inside",1955,1955,"VinylSd","VinylSd","BrkFace","Edwards",4,4,"Normal",118000,98910.09567071797,95416.63940394344
"1.5Fin",3,2,"Detchd",1573,"Inside",1930,1992,"MetalSd","MetalSd","None","BrkSide",5,7,"Normal",162900,154919.2512108427,141043.7110984712
"1Story",2,2,"Attchd",1258,"Inside",2006,2007,"WdShing","Wd Shng","BrkFace","Blmngtn",7,5,"Partial",172500,201451.8386659033,201683.4925210001
"2Story",4,2.5,"Attchd",1908,"Inside",1994,1995,"VinylSd","VinylSd","None","CollgCr",7,5,"Normal",210000,232088.98135639715,218566.9016474008
"1Story",3,1,"Attchd",1689,"Corner",1956,1956,"Wd Sdng","Wd Sdng","None","Edwards",6,5,"Normal",127500,177792.9209505195,188910.8833310427
"1Story",2,2.5,"Attchd",1888,"Corner",1966,2002,"BrkFace","Plywood","None","NAmes",6,6,"Normal",190000,205483.32886102228,221932.34422634938
"2Story",4,2.5,"Attchd",1886,"Corner",1998,1999,"VinylSd","VinylSd","None","Gilbert",7,5,"Normal",199900,232803.89697688274,224815.94524585945
"1.5Fin",3,2,"Detchd",1376,"Inside",1937,1950,"MetalSd","MetalSd","None","IDOTRR",6,6,"Normal",119500,150423.203056975,145068.30698381108
"1.5Fin",2,1.5,"Detchd",1183,"Inside",1948,2002,"MetalSd","MetalSd","None","OldTown",3,7,"Normal",120000,81074.1253251628,102912.05790575966
"1Story",2,1,"Detchd",813,"Inside",1930,2005,"Wd Sdng","Wd Sdng","None","OldTown",6,8,"Normal",110000,149751.58086605556,125580.48787914217
"1Story",2,2,"Attchd",1533,"Inside",1975,1975,"Plywood","Plywood","None","ClearCr",7,5,"Normal",280000,201739.28466179752,205239.98422641214
"2Story",3,2.5,"Attchd",1756,"Corner",1996,1997,"VinylSd","VinylSd","BrkFace","Timber",6,5,"Normal",204000,194912.10890021623,206711.47133696638
"2Story",3,2.5,"Attchd",1590,"Inside",2008,2008,"VinylSd","VinylSd","None","Somerst",8,5,"Normal",210000,248435.43641046705,241819.41066447017
"1Story",4,2,"Detchd",1728,"Inside",1976,1976,"Plywood","Plywood","None","Mitchel",5,5,"Family",188000,156124.77715622543,159281.72397702886
"1Story",3,1.5,"Attchd",1242,"Inside",1973,1973,"HdBoard","HdBoard","BrkFace","NWAmes",7,6,"Normal",175500,185710.1333668527,184222.58395191398
"2Story",4,1,"Detchd",1344,"Inside",1916,1950,"AsbShng","AsbShng","None","OldTown",5,5,"Abnorml",98000,124806.371622382,80551.90518975933
"1Story",2,1,"Attchd",1663,"CulDSac",1954,1994,"Plywood","Plywood","None","ClearCr",4,6,"Normal",256000,137729.5799870033,159955.7036428484
"2Story",3,1,"Detchd",1666,"Inside",1925,1996,"Stucco","Wd Shng","None","OldTown",8,7,"Normal",161000,254853.40908639238,212632.44223485957
"1.5Fin",3,1,"Detchd",1203,"Corner",1950,1950,"MetalSd","MetalSd","BrkCmn","BrkSide",5,4,"Normal",110000,116251.27358875773,110282.46230027336
"2Story",3,2.5,"BuiltIn",1935,"Inside",2009,2009,"VinylSd","VinylSd","Stone","Somerst",8,5,"Partial",263435,269880.5614913707,276999.7130642929
"2Story",3,1,"Detchd",1135,"Inside",1936,2007,"Wd Sdng","Wd Sdng","None","SWISU",7,9,"Normal",155000,199292.86413744444,166345.73063204577
"1Story",3,1,"Detchd",864,"Inside",1965,1965,"MetalSd","MetalSd","None","Sawyer",5,5,"Normal",62383,103369.20967887915,106340.24570976896
"2Story",3,1.5,"Detchd",1660,"Inside",1934,1995,"Stucco","Stucco","None","Crawfor",6,7,"Normal",188700,193366.46782774146,164193.10163489473
"1Story",3,2,"0",1040,"Inside",1978,1978,"HdBoard","HdBoard","BrkFace","CollgCr",5,5,"Normal",124000,115405.62951424393,114774.99476159038
"1Story",2,2,"Attchd",1414,"Inside",2004,2004,"VinylSd","VinylSd","BrkFace","Blmngtn",7,5,"Normal",178740,209379.73830295465,210202.3333331393
"1Story",2,1,"Attchd",1277,"Inside",1970,1970,"Plywood","Plywood","None","NAmes",7,5,"Normal",167000,188948.41571839343,195320.24405746488
"2Story",3,1.5,"Attchd",1644,"Inside",1942,1995,"MetalSd","MetalSd","Stone","NAmes",5,7,"Normal",146500,163416.44432871512,159315.24989552028
"1Story",3,2,"Attchd",1634,"Inside",2006,2006,"VinylSd","VinylSd","Stone","NridgHt",8,5,"Normal",250000,252732.22725214725,258384.54068411933
"2Story",3,2.5,"Attchd",1710,"Corner",1993,1993,"HdBoard","HdBoard","BrkFace","SawyerW",6,5,"Normal",187000,190071.3303982665,200048.23201243673
"1Story",1,1.5,"Attchd",1502,"Corner",1985,1985,"HdBoard","HdBoard","None","StoneBr",8,5,"Normal",212000,236613.98451048127,260280.7906705644
"2Story",3,2.5,"Attchd",1969,"Inside",1977,1977,"WdShing","Plywood","None","NWAmes",7,6,"Normal",190000,226566.23180692332,229907.4819408746
"SLvl",2,1,"Basment",1072,"Inside",2005,2005,"VinylSd","VinylSd","BrkFace","Edwards",6,5,"Normal",148000,165466.26448810296,160848.66440358805
"1Story",2,2,"Attchd",1976,"Inside",2006,2007,"VinylSd","VinylSd","BrkFace","NridgHt",8,5,"Partial",440000,273995.3289706334,293569.92248725076
"1Story",2,2,"Attchd",1652,"Inside",2000,2000,"CemntBd","CmentBd","None","StoneBr",8,5,"Normal",251000,250749.73700933123,266620.3948195928
"1Story",2,1,"Detchd",970,"Corner",1963,1963,"HdBoard","HdBoard","None","Sawyer",5,6,"Normal",132500,108775.8250118584,132852.24498830293
"1Story",3,2,"Attchd",1493,"Inside",1997,1998,"VinylSd","VinylSd","BrkFace","CollgCr",6,5,"Normal",208900,182119.1575298291,184809.86826986354
"2Story",3,2.5,"BuiltIn",2643,"Inside",2006,2006,"VinylSd","VinylSd","BrkFace","NridgHt",9,5,"Normal",380000,340279.9920460484,341797.04822107335
"1Story",3,2,"Attchd",1718,"Inside",2007,2008,"VinylSd","VinylSd","Stone","CollgCr",8,5,"Normal",297000,258853.75820561207,259574.645502368
"1Story",2,1,"Detchd",1131,"Inside",1937,2000,"Stucco","Stucco","BrkCmn","OldTown",4,7,"Alloca",89471,108525.40080228125,96160.37546215858
"1Story",3,2,"Attchd",1850,"FR2",2004,2005,"VinylSd","VinylSd","BrkFace","NridgHt",9,5,"Normal",326000,294304.7031761225,290665.36567906383
"1Story",2,2,"Attchd",1792,"Inside",2003,2004,"VinylSd","VinylSd","BrkFace","NridgHt",9,5,"Normal",374000,290273.14643316326,292674.60739466106
"2Story",4,1.5,"Attchd",1826,"Corner",1915,2005,"Stucco","Stucco","None","OldTown",7,8,"Normal",155000,237542.0434765134,196923.91368884197
"1Story",2,2,"Attchd",1216,"FR2",1998,1998,"VinylSd","VinylSd","BrkFace","Mitchel",6,5,"Normal",164000,165312.33373327646,176641.00682415674
"1Story",3,1,"Detchd",999,"Corner",1962,2001,"HdBoard","Plywood","None","Sawyer",5,7,"Normal",132500,130008.04349159592,134451.79208678636
"1Story",3,1,"Attchd",1113,"Inside",1950,2007,"MetalSd","MetalSd","None","NAmes",5,7,"Normal",147000,139999.5616807836,131049.81886031898
"1Story",3,1.5,"Attchd",1073,"Inside",1965,1965,"MetalSd","MetalSd","BrkFace","NAmes",5,7,"Normal",156000,113398.17892863751,126713.20158684929
"1Story",3,2,"Attchd",1484,"Inside",1971,1971,"Plywood","Plywood","None","NWAmes",5,6,"Normal",175000,138758.01833183132,159492.2510433572
"1.5Fin",3,2,"Attchd",2414,"Corner",1900,1970,"Wd Sdng","Wd Sdng","None","OldTown",5,4,"Normal",160000,194672.82227838106,187308.3065389574
"SFoyer",1,1,"Attchd",630,"Inside",1970,2002,"CemntBd","CmentBd","None","MeadowV",4,8,"Normal",86000,79152.37608432626,95529.19568682578
"2Story",3,1.5,"BuiltIn",1304,"Inside",1976,1976,"CemntBd","CmentBd","None","MeadowV",5,6,"Normal",115000,133050.80026654355,141092.94964913698
"1.5Fin",3,1,"Attchd",1578,"Inside",1941,1950,"Wd Sdng","Wd Sdng","None","NAmes",6,7,"Normal",133000,167983.42612374935,186123.61018183106
"2Story",3,2.5,"Attchd",1456,"Corner",2006,2006,"VinylSd","VinylSd","None","Gilbert",6,5,"Partial",172785,181321.7182844444,186651.5022475014
"1Story",3,1.5,"Detchd",1269,"Inside",1960,1960,"BrkFace","Wd Sdng","None","NAmes",5,6,"Normal",155000,122728.17992548225,137207.34611231158
"1Story",2,1,"Attchd",886,"Inside",1938,1996,"MetalSd","MetalSd","None","OldTown",5,8,"Normal",91300,120589.6381594343,121129.54404779291
"1Story",2,1,"0",720,"Inside",1920,1950,"Wd Sdng","Wd Sdng","None","IDOTRR",4,5,"Abnorml",34900,57966.280006734756,34700.010974118486
"1Story",4,3,"Attchd",3228,"Inside",1992,1993,"BrkFace","BrkFace","None","NoRidge",8,5,"Normal",430000,337481.6245818093,361305.2714251322
"1.5Fin",4,2,"Detchd",1820,"Inside",1925,1950,"Wd Sdng","Wd Sdng","None","BrkSide",7,6,"Normal",184000,206341.89292757,180978.53566268412
"1Story",3,1,"Attchd",899,"Inside",1967,2004,"HdBoard","HdBoard","BrkFace","Sawyer",5,7,"Normal",130000,125477.91328633865,125844.72260461934
"1Story",2,1,"Attchd",912,"Inside",1958,1985,"MetalSd","MetalSd","None","NAmes",5,7,"Normal",120000,116530.3515352973,127512.0287355415
"2Story",3,1.5,"Detchd",1218,"Inside",1973,1973,"HdBoard","HdBoard","BrkFace","BrDale",6,5,"Normal",113000,155274.71423471297,135731.9720795164
"2Story",3,2.5,"Attchd",1768,"Inside",2005,2005,"VinylSd","VinylSd","None","Somerst",7,5,"Normal",226700,228718.94180578087,234012.6137225763
"1Story",2,1,"Detchd",1214,"Corner",1965,1965,"MetalSd","MetalSd","None","Edwards",5,7,"Normal",140000,124605.26862759187,153037.07592674415
"1Story",1,2,"Attchd",1801,"Inside",1959,1997,"BrkFace","Wd Sdng","None","Crawfor",7,8,"Normal",289000,229273.68323460885,250497.25643578218
"2Story",3,2.5,"Attchd",1322,"Inside",1974,1974,"Plywood","Brk Cmn","None","NPkVill",6,5,"Normal",147000,156793.3125374143,146274.03258576058
"2Story",4,2,"Detchd",1960,"Inside",1952,1952,"Wd Sdng","Wd Sdng","BrkFace","OldTown",5,5,"Normal",124500,157902.72884722994,155148.53421055526
"2Story",3,2.5,"Attchd",1911,"Inside",1993,1994,"VinylSd","VinylSd","BrkFace","SawyerW",8,5,"Normal",215000,260737.79854872727,253790.52310393425
"1Story",2,2,"Attchd",1218,"Inside",2009,2009,"VinylSd","VinylSd","None","Somerst",6,5,"Partial",208300,171070.50507331046,196690.35347253014
"2Story",3,2,"Detchd",1378,"Inside",1928,2005,"MetalSd","MetalSd","None","OldTown",7,9,"Normal",161000,207707.89635683107,171178.88535422296
"1Story",3,1,"Attchd",1041,"Corner",1959,1959,"MetalSd","MetalSd","BrkFace","NAmes",5,6,"Normal",124500,111033.9576441926,122196.75758319278
"1Story",2,1,"CarPort",1363,"Inside",1951,2000,"Wd Sdng","Wd Sdng","BrkCmn","NAmes",5,7,"Normal",164900,151581.10639537027,150896.42371117393
"1Story",2,2,"Attchd",1368,"Inside",2005,2006,"VinylSd","VinylSd","Stone","NridgHt",7,5,"Partial",202665,207613.59021832616,227494.4958788883
"1Story",3,1,"Detchd",864,"Corner",1958,1958,"VinylSd","VinylSd","None","NAmes",5,5,"Normal",129900,99782.14085867102,99224.74273685715
"1Story",3,1.5,"Attchd",1080,"Corner",1983,1983,"VinylSd","VinylSd","None","Mitchel",6,5,"Normal",134000,152026.02359237502,154934.1115107229
"1.5Unf",2,1,"Detchd",789,"Inside",1926,1950,"Wd Sdng","Wd Sdng","None","Crawfor",5,5,"Normal",96500,91132.04957513756,75273.86188928294
"1Story",3,2.5,"Attchd",2020,"Inside",2009,2009,"CemntBd","CmentBd","BrkFace","NridgHt",10,5,"Partial",402861,332996.3545587999,327817.8957264151
"SLvl",3,2.5,"Attchd",2119,"Corner",1972,1972,"HdBoard","HdBoard","BrkFace","NWAmes",6,6,"Abnorml",158000,204125.97568056633,200662.05375998234
"2Story",3,2.5,"Attchd",2344,"Inside",1996,1997,"VinylSd","VinylSd","BrkFace","NoRidge",7,5,"Normal",265000,259567.92016685303,269044.11463102186
"2Story",3,2.5,"Attchd",1796,"CulDSac",1998,1998,"VinylSd","VinylSd","None","CollgCr",6,5,"Normal",211000,197851.5254686703,203131.15689744614
"2Story",3,1.5,"Detchd",2080,"Inside",1926,2004,"MetalSd","MetalSd","None","Crawfor",7,9,"Normal",234000,252440.91642497806,227841.1270324418
"2Story",3,2,"0",1294,"Inside",1900,2000,"MetalSd","MetalSd","None","OldTown",4,7,"Normal",106250,113111.35349630729,76572.34124213597
"1Story",3,1.5,"Attchd",1244,"Corner",1957,1957,"VinylSd","VinylSd","None","NAmes",6,6,"Normal",150000,148653.23559614157,155837.37492731703
"1.5Fin",3,2,"Detchd",1664,"Corner",1947,1950,"CemntBd","CmentBd","None","BrkSide",6,7,"Normal",159000,167897.4458490586,182692.22547040577
"2Story",3,3.5,"BuiltIn",4676,"Inside",2007,2008,"CemntBd","CmentBd","Stone","Edwards",10,5,"Partial",184750,488331.28301891265,531731.357178658
"2Story",3,2.5,"Attchd",2398,"Inside",1996,1997,"VinylSd","VinylSd","BrkFace","NoRidge",7,5,"Normal",315750,262844.34069036867,273623.21557484847
"1Story",3,2,"Attchd",1266,"Inside",2005,2005,"VinylSd","VinylSd","None","Somerst",7,5,"Normal",176000,200912.357493243,205402.96753543126
"1Story",2,1,"Attchd",928,"Inside",1956,2000,"Wd Sdng","Wd Sdng","None","NAmes",5,7,"Normal",132000,125187.71884482732,127277.5620583673
"2Story",3,2.5,"Attchd",2713,"Inside",2008,2008,"VinylSd","VinylSd","Stone","NridgHt",9,5,"Partial",446261,345552.0806415647,361764.3997882777
"1Story",2,1,"0",605,"Inside",1920,2002,"Wd Sdng","Wd Sdng","None","Edwards",4,7,"Normal",86000,77635.51473084677,53411.37203325727
"1Story",4,3,"Attchd",2515,"CulDSac",1957,1975,"Wd Sdng","Stone","0","Crawfor",6,3,"Alloca",200624,227038.38306301183,198563.3986065574
"SLvl",3,2,"Attchd",1509,"Inside",1988,1989,"HdBoard","HdBoard","BrkFace","Timber",6,5,"Abnorml",175000,178478.00317007405,162670.1602038734
"2Story",3,2,"Detchd",1362,"FR3",1920,1999,"Wd Sdng","Wd Sdng","None","BrkSide",6,8,"Normal",128000,174683.2424404835,128516.33100583171
"1Story",2,1,"Detchd",827,"Inside",1955,2007,"VinylSd","VinylSd","None","NAmes",5,7,"Normal",107500,122646.66779697838,114801.66340338695
"1Story",1,1,"0",334,"Inside",1946,1950,"VinylSd","VinylSd","None","BrkSide",1,3,"Normal",39300,-52391.75598938673,-33154.61332702637
"2Story",3,2.5,"Attchd",1414,"Inside",2004,2004,"VinylSd","VinylSd","None","Gilbert",8,5,"Normal",178000,235706.978870424,215923.6978053134
"2Story",3,1,"0",1347,"Inside",1910,1991,"MetalSd","MetalSd","None","Edwards",5,7,"Normal",107500,145998.3695031615,112578.28161558253
"2Story",3,2.5,"Attchd",1724,"CulDSac",1998,1999,"VinylSd","VinylSd","None","CollgCr",7,5,"Normal",188000,222974.6354063357,217735.84936384112
"1Story",3,1,"Detchd",864,"FR2",1972,1972,"MetalSd","MetalSd","None","NAmes",4,5,"Normal",111250,77977.04626628786,88288.53984145029
"1Story",3,1.5,"Attchd",1159,"Inside",1968,1968,"Plywood","Plywood","BrkFace","Sawyer",5,5,"Normal",158000,120153.49719326757,128731.34835025202
"1Story",3,2,"Attchd",1601,"Inside",2001,2002,"VinylSd","VinylSd","BrkFace","CollgCr",8,5,"Normal",272000,248680.21665400683,238269.0904004376
"1Story",2,2,"Attchd",1838,"Inside",2006,2006,"VinylSd","VinylSd","BrkFace","Timber",9,5,"Normal",315000,294089.04812933924,303057.4608536945
"2Story",4,2.5,"BuiltIn",2285,"FR2",2000,2000,"VinylSd","VinylSd","BrkFace","NoRidge",8,5,"Normal",248000,286504.67481410154,277996.3968582726
